timestamp,rx_gbps,tx_gbps
2024-12-05 03:45:46,0.000000,0.000000
2024-12-05 03:45:47,0.000000,0.000000
2024-12-05 03:45:48,0.000004,0.000003
2024-12-05 03:45:49,0.000004,0.000002
2024-12-05 03:45:51,0.000000,0.000000
2024-12-05 03:45:52,0.000215,0.048803
2024-12-05 03:45:53,3.984394,3.973699
2024-12-05 03:45:54,4.280619,4.254253
2024-12-05 03:45:55,4.199568,4.183765
2024-12-05 03:45:56,4.249093,4.268209
2024-12-05 03:45:57,4.251061,4.252497
2024-12-05 03:45:58,4.281083,4.244396
2024-12-05 03:45:59,4.240106,4.275658
2024-12-05 03:46:01,4.196797,4.175855
2024-12-05 03:46:02,4.232688,4.229434
2024-12-05 03:46:03,4.187377,4.160073
2024-12-05 03:46:04,4.239471,4.228752
2024-12-05 03:46:05,2.380393,2.372349
2024-12-05 03:46:06,0.000015,0.000011
2024-12-05 03:46:07,0.000004,0.000001
2024-12-05 03:46:08,0.000000,0.000001
2024-12-05 03:46:10,0.000000,0.000000
2024-12-05 03:46:11,0.000000,0.000000
2024-12-05 03:46:12,0.000000,0.000000
2024-12-05 03:46:13,0.000000,0.000000
2024-12-05 03:46:14,0.000000,0.000000
2024-12-05 03:46:15,0.000000,0.000000
2024-12-05 03:46:16,0.000000,0.000000
2024-12-05 03:46:17,0.000000,0.000000
2024-12-05 03:46:18,0.000000,0.000000
2024-12-05 03:46:20,0.000000,0.000000
2024-12-05 03:46:21,0.000000,0.000000
2024-12-05 03:46:22,0.000000,0.000000
2024-12-05 03:46:23,0.000000,0.000000
2024-12-05 03:46:24,0.000000,0.000000
2024-12-05 03:46:25,0.000000,0.000000
2024-12-05 03:46:26,0.000000,0.000000
2024-12-05 03:46:27,0.000000,0.000000
2024-12-05 03:46:28,0.000000,0.000000
2024-12-05 03:46:30,0.000000,0.000000
2024-12-05 03:46:31,0.000000,0.000000
2024-12-05 03:46:32,0.000000,0.000000
2024-12-05 03:46:33,0.000000,0.000000
2024-12-05 03:46:34,0.000006,0.000003
2024-12-05 03:46:35,0.000000,0.000000
2024-12-05 03:46:36,0.000009,0.000005
2024-12-05 03:46:37,0.000000,0.000000
2024-12-05 03:46:39,0.000000,0.000000
2024-12-05 03:46:24,0.000000,0.000000
2024-12-05 03:46:25,0.000000,0.000000
2024-12-05 03:46:26,0.000000,0.000000
2024-12-05 03:46:27,0.000000,0.000000
2024-12-05 03:46:28,0.000000,0.000000
2024-12-05 03:46:30,0.000000,0.000000
2024-12-05 03:46:31,0.000000,0.000000
2024-12-05 03:46:32,0.000000,0.000000
2024-12-05 03:46:33,0.000000,0.000000
2024-12-05 03:46:34,0.000006,0.000003
2024-12-05 03:46:35,0.000000,0.000000
2024-12-05 03:46:36,0.000009,0.000005
2024-12-05 03:46:37,0.000000,0.000000
2024-12-05 03:46:39,0.000000,0.000000
2024-12-05 03:46:39,0.000000,0.000000
